vault_address,vault_symbol,vault_name,asset_address,asset_symbol,asset_name,total_aum_usd_m,event_count
0x397b8c79bca182e25474ea46051a2b460c0985bc,stDODO,Staked DODO,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,DODO,DODO bird,0,156
0x5ae28c9197a4a6570216fc7e53e7e0221d7a0fef,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,154
0xfd6db5011b171b05e1ea3b92f9eacaeeb055e971,TurboSTETH,Turbo STETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,149
0x1751e1e4d2c9fa99479c0c5574136f0dbd8f3eb8,KsfrxETH,Karak - Staked Frax Ether,0xac3E018457B222d93114458476f3E3416Abbe38F,sfrxETH,Staked Frax Ether,0,148
0x622fa41799406b120f9a40da843d358b7b2cfee3,yG-yvUSDC-1,yGauge USDC-1 yVault,0xBe53A109B494E5c9f97b9Cd39Fe969BE68BF6204,yvUSDC-1,USDC-1 yVault,0,140
0x7586c58bf6292b3c9defc8333fc757d6c5da0f7e,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,137
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,syrupUSDC,Syrup USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,136
0xfaa2ed111b4f580fcb85c48e6dc6782dc5fcd7a6,stkauraBAL,Staked Aura BAL,0x616e8BfA43F920657B3497DBf40D6b1A02D4608d,auraBAL,Aura BAL,0,133
0x028ec7330ff87667b6dfb0d94b954c820195336c,yvDAI-1,DAI-1 yVault,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,0,132
0x95eef579155cd2c5510f312c8fa39208c3be01a8,Re7USDT,Re7 USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,129
0x89d80f5e9bc88d8021b352064ae73f0eaf79ebd8,Re7USDA,Re7 USDA,0x0000206329b97DB379d5E1Bf586BbDB969C63274,USDA,USDA,0,123
0x2c25f6c25770ffec5959d34b94bf898865e5d6b1,bbUSDT,Flagship USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,0,120
0x3d9ebe3161778c4831f6f7a6d9263f031285f976,K-mstETH,Karak - mstETH,0x49446A0874197839D15395B908328a74ccc96Bc0,mstETH,mstETH,0,120
0x2371e134e3455e0593363cbf89d3b6cf53740618,gtWETH,Gauntlet WETH Prime,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,120
